,Ticker,close,date,high,low,month,open,volume,company,sector,symbol
230,BHARTIARTL,1547.2,2024-09-05 05:30:00,1563.0,1541.5,2024-09,1559.0,5652812,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
231,BHARTIARTL,1539.25,2024-09-06 05:30:00,1555.6,1530.2,2024-09,1552.8,5497805,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
232,BHARTIARTL,1542.65,2024-09-09 05:30:00,1546.75,1523.25,2024-09,1523.25,3912508,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
233,BHARTIARTL,1577.85,2024-09-10 05:30:00,1586.0,1545.15,2024-09,1545.15,6163457,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
234,BHARTIARTL,1577.8,2024-09-11 05:30:00,1598.9,1574.45,2024-09,1578.45,5994914,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
235,BHARTIARTL,1646.75,2024-09-12 05:30:00,1652.8,1590.1,2024-09,1596.15,12204496,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
236,BHARTIARTL,1634.45,2024-09-13 05:30:00,1654.9,1631.05,2024-09,1651.0,5609618,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
237,BHARTIARTL,1635.45,2024-09-16 05:30:00,1652.95,1630.1,2024-09,1634.45,3762063,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
238,BHARTIARTL,1661.75,2024-09-17 05:30:00,1666.05,1638.5,2024-09,1650.0,4223072,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
239,BHARTIARTL,1654.9,2024-09-18 05:30:00,1670.95,1647.85,2024-09,1655.2,3171195,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
240,BHARTIARTL,1664.85,2024-09-19 05:30:00,1711.7,1647.7,2024-09,1647.7,8498240,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
241,BHARTIARTL,1711.75,2024-09-20 05:30:00,1723.4,1666.0,2024-09,1671.0,21646275,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
242,BHARTIARTL,1750.45,2024-09-23 05:30:00,1754.25,1719.0,2024-09,1719.0,5001827,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
243,BHARTIARTL,1756.65,2024-09-24 05:30:00,1767.55,1746.1,2024-09,1752.0,7579205,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
244,BHARTIARTL,1760.4,2024-09-25 05:30:00,1766.9,1745.0,2024-09,1755.55,4017103,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
245,BHARTIARTL,1771.1,2024-09-26 05:30:00,1779.0,1746.15,2024-09,1770.0,7417423,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
246,BHARTIARTL,1734.6,2024-09-27 05:30:00,1763.45,1722.5,2024-09,1755.2,7116861,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
247,BHARTIARTL,1709.55,2024-09-30 05:30:00,1733.0,1704.2,2024-09,1714.0,6907288,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
248,BHARTIARTL,1698.7,2024-10-01 05:30:00,1722.85,1696.0,2024-10,1705.0,3649090,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
249,BHARTIARTL,1673.45,2024-10-03 05:30:00,1695.0,1665.0,2024-10,1665.0,7200276,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
250,BHARTIARTL,1640.9,2024-10-04 05:30:00,1686.7,1630.15,2024-10,1670.05,8576527,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
251,BHARTIARTL,1662.05,2024-10-07 05:30:00,1670.0,1642.45,2024-10,1651.0,5387707,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
252,BHARTIARTL,1657.45,2024-10-08 05:30:00,1679.5,1652.0,2024-10,1662.6,5224335,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
253,BHARTIARTL,1678.1,2024-10-09 05:30:00,1704.6,1661.05,2024-10,1666.75,3414614,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
254,BHARTIARTL,1678.1,2024-10-10 05:30:00,1698.95,1665.0,2024-10,1686.6,5047657,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
255,BHARTIARTL,1687.4,2024-10-11 05:30:00,1690.25,1658.65,2024-10,1678.1,2367678,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
256,BHARTIARTL,1695.6,2024-10-14 05:30:00,1710.05,1679.35,2024-10,1686.0,2069815,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
257,BHARTIARTL,1717.25,2024-10-15 05:30:00,1732.75,1699.95,2024-10,1708.0,5891334,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
258,BHARTIARTL,1733.95,2024-10-16 05:30:00,1742.25,1717.1,2024-10,1720.0,3299887,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
259,BHARTIARTL,1701.15,2024-10-17 05:30:00,1737.95,1694.4,2024-10,1736.75,4373392,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
260,BHARTIARTL,1707.85,2024-10-18 05:30:00,1716.1,1685.2,2024-10,1710.0,4154915,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
261,BHARTIARTL,1692.55,2024-10-21 05:30:00,1708.95,1662.0,2024-10,1705.55,3836168,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
262,BHARTIARTL,1692.25,2024-10-22 05:30:00,1712.9,1687.35,2024-10,1692.0,3070057,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
263,BHARTIARTL,1685.8,2024-10-23 05:30:00,1701.35,1680.1,2024-10,1690.0,2764757,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
264,BHARTIARTL,1678.45,2024-10-24 05:30:00,1693.0,1657.4,2024-10,1687.0,3669575,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
265,BHARTIARTL,1666.0,2024-10-25 05:30:00,1684.75,1655.85,2024-10,1681.1,3434386,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
266,BHARTIARTL,1663.35,2024-10-28 05:30:00,1677.85,1645.65,2024-10,1658.15,2811651,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
267,BHARTIARTL,1637.1,2024-10-29 05:30:00,1667.95,1610.0,2024-10,1650.5,6990747,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
268,BHARTIARTL,1633.35,2024-10-30 05:30:00,1651.0,1617.8,2024-10,1627.8,4622628,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
269,BHARTIARTL,1612.6,2024-10-31 05:30:00,1638.8,1602.15,2024-10,1634.0,4921681,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
270,BHARTIARTL,1616.45,2024-11-01 05:30:00,1626.35,1605.35,2024-11,1620.0,279441,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
271,BHARTIARTL,1591.25,2024-11-04 05:30:00,1623.85,1573.05,2024-11,1619.15,6094029,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
272,BHARTIARTL,1578.4,2024-11-05 05:30:00,1593.9,1566.0,2024-11,1583.25,6473278,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
273,BHARTIARTL,1598.8,2024-11-06 05:30:00,1610.75,1566.5,2024-11,1583.0,6631728,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
274,BHARTIARTL,1575.8,2024-11-07 05:30:00,1608.55,1569.65,2024-11,1595.95,5160994,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
275,BHARTIARTL,1569.9,2024-11-08 05:30:00,1579.5,1558.85,2024-11,1571.0,3096384,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
